n_e_cm3,R_Te15800,R_Te17300,R_Te18800
1.122018454301963004e+02,1.121281934313541478e-01,9.650810086967598345e-02,8.514589489692585278e-02
1.148153621496882835e+02,1.114366796625282374e-01,9.592749382036978856e-02,8.464505333147172295e-02
1.174897554939529130e+02,1.107369040410697975e-01,9.533978794192210504e-02,8.413796403021517323e-02
1.202264434617413116e+02,1.100289100438160972e-01,9.474501377347858966e-02,8.362464866971476563e-02
1.230268770812381121e+02,1.093127468193741264e-01,9.414320657650812607e-02,8.310513296246192783e-02
1.258925411794167530e+02,1.085884692851187688e-01,9.353440642375274172e-02,8.257944673919340173e-02
1.288249551693133697e+02,1.078561382186669082e-01,9.291865828390949433e-02,8.204762402781856645e-02
1.318256738556407299e+02,1.071158203434482287e-01,9.229601210172073966e-02,8.150970312867984735e-02
1.348962882591653170e+02,1.063675884079977457e-01,9.166652287315134318e-02,8.096572668586361765e-02
1.380384264602885196e+02,1.056115212585953672e-01,9.103025071532952484e-02,8.041574175427972093e-02
1.412537544622753956e+02,1.048477039048845427e-01,9.038726093093193970e-02,7.985979986222573046e-02
1.445439770745927888e+02,1.040762275781041968e-01,8.973762406669455460e-02,7.929795706915453157e-02
1.479108388168207284e+02,1.032971897815794515e-01,8.908141596573780630e-02,7.873027401836749095e-02
1.513561248436208757e+02,1.025106943331210996e-01,8.841871781339744052e-02,7.815681598435580968e-02
1.548816618912481147e+02,1.017168513989972350e-01,8.774961617626010624e-02,7.757765291452013712e-02
1.584893192461114211e+02,1.009157775191502210e-01,8.707420303411228524e-02,7.699285946500264433e-02
1.621810097358929852e+02,1.001075956233467151e-01,8.639257580451871477e-02,7.640251503037288894e-02
1.659586907437561365e+02,9.929243503796254811e-02,8.570483735975822914e-02,7.580670376691714396e-02
1.698243652461744375e+02,9.847043148312238647e-02,8.501109603585779717e-02,7.520551460928971699e-02
1.737800828749376194e+02,9.764172705993005852e-02,8.431146563347781397e-02,7.459904128029500037e-02
1.778279410038922776e+02,9.680647022754831910e-02,8.360606541041806783e-02,7.398738229358201024e-02
1.819700858609984380e+02,9.596481576990435747e-02,8.289502006552948443e-02,7.337064094904365008e-02
1.862087136662867408e+02,9.511692475182495499e-02,8.217845971383475057e-02,7.274892532072947671e-02
1.905460717963248385e+02,9.426296446442397614e-02,8.145651985267927941e-02,7.212234823709430531e-02
1.949844599758045547e+02,9.340310835959650393e-02,8.072934131875579566e-02,7.149102725342197651e-02
1.995262314968880730e+02,9.253753597349634319e-02,7.999707023586596910e-02,7.085508461628109433e-02
2.041737944669529554e+02,9.166643283890441030e-02,7.925985795330535433e-02,7.021464721988832092e-02
2.089296130854038722e+02,9.078999038642417141e-02,7.851786097478276327e-02,6.956984655427393693e-02
2.137962089502232459e+02,8.990840583447134993e-02,7.777124087780849793e-02,6.892081864516515222e-02
2.187761623949551790e+02,8.902188206805679294e-02,7.702016422351319613e-02,6.826770398552524377e-02
2.238721138568340052e+02,8.813062750639158449e-02,7.626480245688416204e-02,6.761064745870662418e-02
2.290867652767772427e+02,8.723485595938128279e-02,7.550533179743505741e-02,6.694979825320185318e-02
2.344228815319922603e+02,8.633478647310384446e-02,7.474193312035094794e-02,6.628530976899846272e-02
2.398832919019489793e+02,8.543064316440533712e-02,7.397479182818145205e-02,6.561733951556857070e-02
2.454708915685031059e+02,8.452265504477787794e-02,7.320409771318157899e-02,6.494604900154958560e-02
2.511886431509579722e+02,8.361105583372149819e-02,7.243004481043130438e-02,6.427160361619689566e-02
2.570395782768864592e+02,8.269608376182437104e-02,7.165283124189196495e-02,6.359417250271594269e-02
2.630267991895381670e+02,8.177798136383115923e-02,7.087265905159007007e-02,6.291392842360592208e-02
2.691534803926916766e+02,8.085699526200268439e-02,7.008973403214519005e-02,6.223104761817393332e-02
2.754228703338166042e+02,7.993337594010403724e-02,6.930426554289094432e-02,6.154570965240482167e-02
2.818382931264454783e+02,7.900737750839055551e-02,6.851646631986435532e-02,6.085809726139517623e-02
2.884031503126605571e+02,7.807925745999332034e-02,6.772655227796905986e-02,6.016839618458916933e-02
